경기 일정,지역,비고,시간,3-시간,2-시간,1-시간,0시간,1시간,2시간,누적 강수량
2021-06-17,고척,0,18:30,0,0,0,0,0,0,0
2021-06-25,고척,0,18:30,0,0,0,0,0,0,0
2021-06-26,고척,0,17:00,0,0,0,0,0,0,0
2021-06-27,고척,0,17:00,0,0,0,0,0,0,0
2021-06-29,고척,0,18:30,0,0,0,0,0,0,0
2021-06-30,고척,0,18:30,0,0,0,0,0,0,0
2021-07-01,고척,0,18:30,0,0,0,0,0,0,0
2021-07-06,고척,0,18:30,0,0,0,0,0,0,0
2021-07-07,고척,0,18:30,0,0,0,0,0,0,0
2021-07-08,고척,0,18:30,0,0,0,0,0,0,0
2021-08-10,고척,0,18:30,0,0,0,0,0,0,0
2021-08-11,고척,0,18:30,0,0,0,0,0,0,0
2021-08-12,고척,0,18:30,0,0,0,0,0,0,0
2021-08-13,고척,0,18:30,0,0,0,0,0,0,0
2021-08-14,고척,0,18:00,0,0,0,0,0,0,0
2021-08-15,고척,0,17:00,0,0,0,0,0,0,0
2021-08-26,고척,0,18:30,0,0,0,0,0,0,0
2021-08-27,고척,0,18:30,0,0,0,0,0,0,0
2021-09-02,고척,0,18:30,0,0,0,0,0,0,0
2021-09-03,고척,0,18:30,0,0,0,0,0,0,0
2021-09-04,고척,0,17:00,0,0,0,0,0,0,0
2021-09-05,고척,0,14:00,0,0,0,0,0,0,0
2021-09-09,고척,0,18:30,0,0,0,0,0,0,0
2021-09-10,고척,0,18:30,0,0,0,0,0,0,0
2021-09-16,고척,0,18:30,0,0,0,0,0,0,0
2021-09-17,고척,0,18:30,0,0,0,0,0,0,0
2021-09-18,고척,0,17:00,0,0,0,0,0,0,0
2021-09-19,고척,0,14:00,0,0,0,0,0,0,0
2021-09-23,고척,0,18:30,0,0,0,0,0,0,0
2021-09-24,고척,0,18:30,0,0,0,0,0,0,0
2021-09-25,고척,0,17:00,0,0,0,0,0,0,0
2021-09-26,고척,0,14:00,0,0,0,0,0,0,0
2021-10-02,고척,0,17:00,0,0,0,0,0,0,0
2021-10-03,고척,0,14:00,0,0,0,0,0,0,0
2021-10-05,고척,0,18:30,0,0,0,0,0,0,0
2021-10-06,고척,0,18:30,0,0,0,0,0,0,0
2021-10-12,고척,0,18:30,0,0,0,0,0,0,0
2021-10-13,고척,0,18:30,0,0,0,0,0,0,0
2021-10-14,고척,0,18:30,0,0,0,0,0,0,0
2021-10-27,고척,0,18:30,0,0,0,0,0,0,0
2021-10-29,고척,0,18:30,0,0,0,0,0,0,0
2022-04-02,고척,0,14:00,0,0,0,0,0,0,0
2022-04-03,고척,0,14:00,0,0,0,0,0,0,0
2022-04-05,고척,0,18:30,0,0,0,0,0,0,0
2022-04-06,고척,0,18:30,0,0,0,0,0,0,0
2022-04-07,고척,0,18:30,0,0,0,0,0,0,0
2022-04-12,고척,0,18:30,0,0,0,0,0,0,0
2022-04-13,고척,0,18:30,0,0,0,0,0,0,0
2022-04-14,고척,0,18:30,0,0,0,0,0,0,0
2022-04-22,고척,0,18:30,0,0,0,0,0,0,0
2022-04-23,고척,0,14:00,0,0,0,0,0,0,0
2022-04-24,고척,0,14:00,0,0,0,0,0,0,0
2022-04-29,고척,0,18:30,0,0,0,0,0,0,0
2022-04-30,고척,0,17:00,0,0,0,0,0,0,0
2022-05-01,고척,0,14:00,0,0,0,0,0,0,0
2022-05-06,고척,0,18:30,0,0,0,0,0,0,0
2022-05-07,고척,0,17:00,0,0,0,0,0,0,0
2022-05-08,고척,0,14:00,0,0,0,0,0,0,0
2022-05-10,고척,0,18:30,0,0,0,0,0,0,0
2022-05-11,고척,0,18:30,0,0,0,0,0,0,0
2022-05-12,고척,0,18:30,0,0,0,0,0,0,0
2022-05-20,고척,0,18:30,0,0,0,0,0,0,0
2022-05-21,고척,0,17:00,0,0,0,0,0,0,0
2022-05-22,고척,0,14:00,0,0,0,0,0,0,0
2022-05-31,고척,0,18:30,0,0,0,0,0,0,0
2022-06-01,고척,0,17:00,0,0,0,0,0,0,0
2022-06-02,고척,0,18:30,0,0,0,0,0,0,0
2022-06-07,고척,0,18:30,0,0,0,0,0,0,0
2022-06-08,고척,0,18:30,0,0,0,0,0,0,0
2022-06-09,고척,0,18:30,0,0,0,0,0,0,0
2022-06-14,고척,0,18:30,0,0,0,0,0,0,0
2022-06-15,고척,0,18:30,0,0,0,0,0,0,0
2022-06-16,고척,0,18:30,0,0,0,0,0,0,0
2022-06-17,고척,0,18:30,0,0,0,0,0,0,0
2022-06-18,고척,0,14:00,0,0,0,0,0,0,0
2022-06-19,고척,0,14:00,0,0,0,0,0,0,0
2022-06-28,고척,0,18:30,0,0,0,0,0,0,0
2022-06-29,고척,0,18:30,0,0,0,0,0,0,0
2022-06-30,고척,0,18:30,0,0,0,0,0,0,0
2022-07-01,고척,0,18:30,0,0,0,0,0,0,0
2022-07-02,고척,0,14:00,0,0,0,0,0,0,0
2022-07-03,고척,0,14:00,0,0,0,0,0,0,0
2022-07-08,고척,0,18:30,0,0,0,0,0,0,0
2022-07-09,고척,0,14:00,0,0,0,0,0,0,0
2022-07-10,고척,0,14:00,0,0,0,0,0,0,0
2022-07-22,고척,0,18:30,0,0,0,0,0,0,0
2022-07-23,고척,0,14:00,0,0,0,0,0,0,0
2022-07-24,고척,0,14:00,0,0,0,0,0,0,0
2022-08-02,고척,0,18:30,0,0,0,0,0,0,0
2022-08-03,고척,0,18:30,0,0,0,0,0,0,0
2022-08-04,고척,0,18:30,0,0,0,0,0,0,0
2022-08-10,고척,0,18:30,0,0,0,0,0,0,0
2022-08-11,고척,0,18:30,0,0,0,0,0,0,0
2022-08-12,고척,0,18:30,0,0,0,0,0,0,0
2022-08-20,고척,0,14:00,0,0,0,0,0,0,0
2022-08-21,고척,0,14:00,0,0,0,0,0,0,0
2022-08-23,고척,0,18:30,0,0,0,0,0,0,0
2022-08-24,고척,0,18:30,0,0,0,0,0,0,0
2022-08-30,고척,0,18:30,0,0,0,0,0,0,0
2022-08-31,고척,0,18:30,0,0,0,0,0,0,0
2022-09-01,고척,0,18:30,0,0,0,0,0,0,0
2022-09-02,고척,0,18:30,0,0,0,0,0,0,0
2022-09-08,고척,0,18:30,0,0,0,0,0,0,0
2022-09-09,고척,0,14:00,0,0,0,0,0,0,0
2022-09-10,고척,0,17:00,0,0,0,0,0,0,0
2022-09-11,고척,0,14:00,0,0,0,0,0,0,0
2022-09-17,고척,0,17:00,0,0,0,0,0,0,0
2022-09-18,고척,0,14:00,0,0,0,0,0,0,0
2022-09-20,고척,0,18:30,0,0,0,0,0,0,0
2022-09-21,고척,0,18:30,0,0,0,0,0,0,0
2022-09-22,고척,0,18:30,0,0,0,0,0,0,0
2022-09-23,고척,0,18:30,0,0,0,0,0,0,0
2022-09-24,고척,0,17:00,0,0,0,0,0,0,0
2023-04-01,고척,0,14:00,0,0,0,0,0,0,0
2023-04-02,고척,0,14:00,0,0,0,0,0,0,0
2023-04-04,고척,0,18:30,0,0,0,0,0,0,0
2023-04-05,고척,0,18:30,0,0,0,0,0,0,0
2023-04-06,고척,0,18:30,0,0,0,0,0,0,0
2023-04-14,고척,0,18:30,0,0,0,0,0,0,0
2023-04-15,고척,0,17:00,0,0,0,0,0,0,0
2023-04-16,고척,0,14:00,0,0,0,0,0,0,0
2023-04-18,고척,0,18:30,0,0,0,0,0,0,0
2023-04-19,고척,0,18:30,0,0,0,0,0,0,0
2023-04-20,고척,0,18:30,0,0,0,0,0,0,0
2023-04-25,고척,0,18:30,0,0,0,0,0,0,0
2023-04-26,고척,0,18:30,0,0,0,0,0,0,0
2023-04-27,고척,0,18:30,0,0,0,0,0,0,0
2023-05-05,고척,0,14:00,0,0,0,0,0,0,0
2023-05-06,고척,0,17:00,0,0,0,0,0,0,0
2023-05-07,고척,0,14:00,0,0,0,0,0,0,0
2023-05-12,고척,0,18:30,0,0,0,0,0,0,0
2023-05-13,고척,0,17:00,0,0,0,0,0,0,0
2023-05-14,고척,0,14:00,0,0,0,0,0,0,0
