롯데,68,63,13,0.519,5,2025-05-09 09:35:59
LG,86,55,3,0.610,1,2025-05-09 09:35:59
KT,79,62,3,0.560,2,2025-05-09 09:35:59
NC,75,65,4,0.536,3,2025-05-09 09:35:59
두산,74,68,2,0.521,4,2025-05-09 09:35:59
